plant_id,plant_name,company_id,company_name,zone_id,plant_zone,zone_master,region_id,region_name,plant_state,devices
3040,"StarCement - LUMS",1017,NA,0,,NULL,0,NA,,17624
3040,"AGARTALA CPW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"AGARTALA2 CPW SCL-LUMS",1017,NA,0,,NULL,0,NA,,2203
3040,"AGARTALA2 CPW-SCL-LUMS",1017,NA,0,,NULL,0,NA,,2203
3040,"AGARTALA3 CDW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"AGARTALA3 CPW-SCL-LUMS",1017,NA,0,,NULL,0,NA,,2203
3040,"AIZWAL CDW-SCL-LUMS",1017,NA,0,,NULL,0,NA,,2203
3040,"AIZWAL CPW SCL LUMS",1017,,0,,NULL,0,,,2203
3040,"BADARPUR CDW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BADARPUR CPW-SCL-LUMS",1017,NA,0,,NULL,0,NA,,2203
3040,"BAIRABI CRS-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BALAJAN SOW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BALURGHAT SOW SCL- LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BANDERDEWA CPW-1-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BANDERDEWA CPW-2-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BARPETA ROAD CPW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BARPETA ROAD CRS-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BHAGALPUR CPW-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BHANGA MRS-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BIHARA MRS-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BOKAJAN CRS-SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BOKAJAN TP SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
3040,"BOKAJAN1 CPW SCL-LUMS",1017,"STAR CEMENT",0,NA,NULL,0,NA,NULL,2203
